feature_name,feature_importance,sensor,agg,axis
"fBodyGyro-bandsEnergy()-33,40",0.000543615026444379,fBodyGyro,bandsEnergy(),"33,40"
"fBodyGyro-bandsEnergy()-33,40",0.000543615026444379,fBodyGyro,bandsEnergy(),"33,40"
"fBodyGyro-bandsEnergy()-33,40",0.000543615026444379,fBodyGyro,bandsEnergy(),"33,40"
fBodyGyro-skewness()-X,0.0005401450171281716,fBodyGyro,skewness(),X
tBodyAcc-iqr()-Y,0.0005310389773368197,tBodyAcc,iqr(),Y
tBodyGyroJerk-max()-Y,0.0005259331566778746,tBodyGyroJerk,max(),Y
tGravityAcc-iqr()-X,0.0005188268131684276,tGravityAcc,iqr(),X
"fBodyAcc-bandsEnergy()-25,48.2",0.0005183690581771913,fBodyAcc,bandsEnergy(),"25,48.2"
"angle(tBodyGyroJerkMean,gravityMean)",0.0005177167357988336,angle,tBodyGyroJerkMean,gravityMean
"fBodyAcc-bandsEnergy()-9,16.1",0.0005100236799312474,fBodyAcc,bandsEnergy(),"9,16.1"
fBodyGyro-kurtosis()-Z,0.0005029616213295346,fBodyGyro,kurtosis(),Z
fBodyGyro-mean()-Y,0.000500666109559818,fBodyGyro,mean(),Y
"tBodyGyroJerk-arCoeff()-Y,1",0.0005001866578679875,tBodyGyroJerk,arCoeff(),"Y,1"
fBodyGyro-energy()-Z,0.0004987461607474645,fBodyGyro,energy(),Z
"tBodyAcc-arCoeff()-X,1",0.000497706339238469,tBodyAcc,arCoeff(),"X,1"
tBodyGyro-std()-Y,0.0004965608317953998,tBodyGyro,std(),Y
tGravityAcc-mad()-Y,0.0004956767911054291,tGravityAcc,mad(),Y
fBodyBodyAccJerkMag-skewness(),0.0004925125646919214,fBodyBodyAccJerkMag,skewness(),
tBodyAcc-mad()-Z,0.00048585360566700734,tBodyAcc,mad(),Z
fBodyAcc-skewness()-Z,0.0004829952998759294,fBodyAcc,skewness(),Z
"fBodyAccJerk-bandsEnergy()-33,40.2",0.0004826755513305802,fBodyAccJerk,bandsEnergy(),"33,40.2"
tBodyAcc-std()-Y,0.00047967032845053247,tBodyAcc,std(),Y
"fBodyGyro-bandsEnergy()-17,32.2",0.0004772098086750134,,,
fBodyGyro-std()-Y,0.0004705878217107795,fBodyGyro,std(),Y
tBodyAccJerk-min()-Z,0.0004631514839736557,tBodyAccJerk,min(),Z
"fBodyGyro-bandsEnergy()-49,56.2",0.000461450802551313,,,
fBodyAcc-maxInds-X,0.00046127877546949187,fBodyAcc,maxInds,X
tBodyGyroJerk-std()-Z,0.00045967865368554497,tBodyGyroJerk,std(),Z
fBodyGyro-max()-Y,0.0004590188568641495,fBodyGyro,max(),Y
fBodyBodyGyroJerkMag-std(),0.00045888547374951224,fBodyBodyGyroJerkMag,std(),
"fBodyGyro-bandsEnergy()-41,48",0.00045855226382574503,fBodyGyro,bandsEnergy(),"41,48"
"fBodyGyro-bandsEnergy()-41,48",0.00045855226382574503,fBodyGyro,bandsEnergy(),"41,48"
"fBodyGyro-bandsEnergy()-41,48",0.00045855226382574503,fBodyGyro,bandsEnergy(),"41,48"
fBodyBodyAccJerkMag-std(),0.00045769521417543383,fBodyBodyAccJerkMag,std(),
